"cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_id","metric","rows","finite","missing","positive_infinite","negative_infinite","mean","sd","q05","q50","q95"
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_scaled_root_component_right_radius_conditional_on_continuum_band_coverage",254,240,14,0,0,2.58141760227256,0.622261394882606,1.61602838326577,2.58028999076111,3.58492594808848
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","empirical_root_count",254,254,0,0,0,0,0,0,0,0
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","root_isolation_maximum_bisections",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","root_error_conditional_on_isolation",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_hat",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","variance_at_root_hat",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","root_standard_error",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","wald_length",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","wald_collection_bias_conditional_on_isolation",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","wald_collection_rmse_conditional_on_isolation",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","wald_collection_total_length",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","root_multiplier_critical_value",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","root_multiplier_total_length",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_critical_value",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_critical_value_ratio",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_value_maximum_half_width",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_derivative_maximum_half_width",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_value_width_inflation",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_guard_minimum_ratio",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_guard_minimum_ratio_d0",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_guard_minimum_ratio_d1",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_guard_nodes_used",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_guard_maximum_level",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_value_enclosure_nodes_used",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_derivative_enclosure_nodes_used",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_value_unresolved_cells",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_derivative_unresolved_cells",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_value_variance_unresolved_cells",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_derivative_variance_unresolved_cells",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_certificate_count",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_covariance_01_min",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_covariance_01_max",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_correlation_01_min",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","derivative_assisted_correlation_01_max",254,0,254,0,0,,,,,
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","x_ess_ratio_p1",254,254,0,0,0,0.60353816725466,0.0105522556001745,0.586344532158114,0.60376171153459,0.620293529066129
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","y_ess_ratio_p1",254,254,0,0,0,0.361176102523591,0.00569920429917759,0.351982316874069,0.361432207187581,0.369718567049087
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","x_max_share_p1",254,254,0,0,0,0.00218413285546463,3.81462733329236e-05,0.00212387499609244,0.00218166165278115,0.00224803439767347
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","y_max_share_p1",254,254,0,0,0,0.00206928064753763,6.18363225771625e-05,0.00198066850631896,0.00206783506144725,0.00217431884228814
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","x_top1pct_share_p1",254,254,0,0,0,0.0417761410751737,0.000747669157302082,0.0404329356291126,0.0418007464027947,0.0429440249095595
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","y_top1pct_share_p1",254,254,0,0,0,0.0411919556278641,0.00122475024266848,0.0394183208845661,0.041164662764049,0.0432745039857217
